INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070927,3114,Investigate Property,INVESTIGATE PROPERTY,C6,936,,03/09/2018 20:19,2018,9,Monday,20,Part Three,DALESSIO CT,42.34011469,-71.05339029,"(42.34011469, -71.05339029)"
I182070923,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",D4,139,,03/09/2018 19:58,2018,9,Monday,19,Part Three,MARLBOROUGH ST,42.3503876,-71.0878529,"(42.35038760, -71.08785290)"
I182070922,2647,Other,THREATS TO DO BODILY HARM,B3,429,,03/09/2018 20:39,2018,9,Monday,20,Part Two,WOODROW AVE,42.28647012,-71.08714661,"(42.28647012, -71.08714661)"
I182070921,3201,Property Lost,PROPERTY - LOST,B3,469,,02/09/2018 14:00,2018,9,Sunday,14,Part Three,MULVEY ST,42.27924052,-71.09667382,"(42.27924052, -71.09667382)"
I182070920,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,03/09/2018 19:43,2018,9,Monday,19,Part Three,,42.35287456,-71.0738297,"(42.35287456, -71.07382970)"
I182070919,3301,Verbal Disputes,VERBAL DISPUTE,C11,341,,03/09/2018 18:52,2018,9,Monday,18,Part Three,STONEHURST ST,42.30526428,-71.06683755,"(42.30526428, -71.06683755)"
I182070918,3305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,D4,130,,03/09/2018 17:00,2018,9,Monday,17,Part Three,HUNTINGTON AVE,42.34857652,-71.07772012,"(42.34857652, -71.07772012)"
I182070917,2647,Other,THREATS TO DO BODILY HARM,B2,901,,03/09/2018 19:52,2018,9,Monday,19,Part Two,HORADAN WAY,42.33371742,-71.09665806,"(42.33371742, -71.09665806)"
I182070915,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,181,,02/09/2018 18:00,2018,9,Sunday,18,Part One,SHIRLEY ST,42.3256949,-71.06816778,"(42.32569490, -71.06816778)"
I182070913,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,03/09/2018 18:46,2018,9,Monday,18,Part Three,WOLCOTT,-1,-1,"(-1.00000000, -1.00000000)"
I182070911,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,69,,03/09/2018 18:30,2018,9,Monday,18,Part Three,BEACON ST,42.35564426,-71.07168077,"(42.35564426, -71.07168077)"
I182070910,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,,03/09/2018 18:42,2018,9,Monday,18,Part Three,CAPEN ST,42.28340243,-71.0807974,"(42.28340243, -71.08079740)"
I182070909,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,550,,03/09/2018 18:33,2018,9,Monday,18,Part Three,WASHINGTON ST,42.27581799,-71.13991259,"(42.27581799, -71.13991259)"
I182070908,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,03/09/2018 18:38,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I182070906,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,03/09/2018 18:20,2018,9,Monday,18,Part Three,,42.28359328,-71.05565683,"(42.28359328, -71.05565683)"
I182070905,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,172,,03/09/2018 18:50,2018,9,Monday,18,Part Three,MASSACHUSETTS AVE,42.33311189,-71.0727637,"(42.33311189, -71.07276370)"
I182070904,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,242,,03/09/2018 18:34,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
I182070904,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,242,,03/09/2018 18:34,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
I182070903,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,463,,03/09/2018 18:55,2018,9,Monday,18,Part Two,BLUE HILL AVE,42.29590385,-71.08773294,"(42.29590385, -71.08773294)"
I182070901,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,428,,03/09/2018 18:41,2018,9,Monday,18,Part Two,CLARKWOOD ST,42.28013735,-71.09079826,"(42.28013735, -71.09079826)"
I182070900,2629,Harassment,HARASSMENT,B3,464,,03/09/2018 18:17,2018,9,Monday,18,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I182070898,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,03/09/2018 19:11,2018,9,Monday,19,Part Two,SALISBURY PARK,42.29928376,-71.059172,"(42.29928376, -71.05917200)"
I182070897,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,,03/09/2018 18:37,2018,9,Monday,18,Part Two,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)"
I182070895,3207,Property Found,PROPERTY - FOUND,A7,30,,03/09/2018 16:43,2018,9,Monday,16,Part Three,COTTAGE ST,42.36742605,-71.03547266,"(42.36742605, -71.03547266)"
I182070893,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,,03/09/2018 18:44,2018,9,Monday,18,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I182070892,613,Larceny,LARCENY SHOPLIFTING,B2,276,,03/09/2018 17:54,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)"
I182070891,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E13,303,,02/09/2018 20:04,2018,9,Sunday,20,Part Three,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)"
I182070890,2612,Fire Related Reports,FIRE REPORT/ALARM - FALSE,B3,432,,03/09/2018 18:17,2018,9,Monday,18,Part Two,CALLENDER ST,42.28848287,-71.08259001,"(42.28848287, -71.08259001)"
I182070889,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,, ,,03/09/2018 18:05,2018,9,Monday,18,Part Two,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
I182070889,3125,Warrant Arrests,WARRANT ARREST,, ,,03/09/2018 18:05,2018,9,Monday,18,Part Three,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
I182070889,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,, ,,03/09/2018 18:05,2018,9,Monday,18,Part Two,,42.30676881,-71.08431925,"(42.30676881, -71.08431925)"
I182070888,301,Robbery,ROBBERY - STREET,A1,76,,03/09/2018 15:45,2018,9,Monday,15,Part One,,,,"(0.00000000, 0.00000000)"
I182070887,1402,Vandalism,VANDALISM,D4,149,,01/09/2018 12:00,2018,9,Saturday,12,Part Two,W NEWTON ST,42.34385799,-71.07953502,"(42.34385799, -71.07953502)"
I182070886,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,402,,03/09/2018 15:34,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28492596,-71.07135254,"(42.28492596, -71.07135254)"
I182070885,619,Larceny,LARCENY ALL OTHERS,B3,456,,03/09/2018 17:17,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
I182070882,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,901,,03/09/2018 15:00,2018,9,Monday,15,Part Three,WARD ST,42.33511145,-71.09592156,"(42.33511145, -71.09592156)"
I182070881,1402,Vandalism,VANDALISM,C11,356,,03/09/2018 15:00,2018,9,Monday,15,Part Two,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I182070880,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,116,,03/09/2018 17:09,2018,9,Monday,17,Part Three,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)"
I182070879,3301,Verbal Disputes,VERBAL DISPUTE,B3,441,,03/09/2018 16:04,2018,9,Monday,16,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834,"(42.29540175, -71.08237834)"
I182070877,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,562,,03/09/2018 15:00,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I182070876,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,244,,03/09/2018 16:21,2018,9,Monday,16,Part Three,E COTTAGE ST,42.31866067,-71.05881776,"(42.31866067, -71.05881776)"
I182070875,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,116,,03/09/2018 16:55,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)"
I182070875,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,116,,03/09/2018 16:55,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)"
I182070874,617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,,03/09/2018 16:00,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182070873,3625,Other,DANGEROUS OR HAZARDOUS CONDITION,B2,327,,03/09/2018 15:38,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.0742708,"(42.31368925, -71.07427080)"
I182070873,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,B2,327,,03/09/2018 15:38,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.0742708,"(42.31368925, -71.07427080)"
I182070872,1402,Vandalism,VANDALISM,C6,205,,31/08/2018 17:00,2018,8,Friday,17,Part Two,A ST,42.34754258,-71.0506621,"(42.34754258, -71.05066210)"
I182070871,3501,Missing Person Reported,MISSING PERSON,B2,265,,03/09/2018 17:03,2018,9,Monday,17,Part Three,PERRIN ST,42.3218854,-71.07906279,"(42.32188540, -71.07906279)"
I182070870,3115,Investigate Person,INVESTIGATE PERSON,E18,493,,03/09/2018 15:51,2018,9,Monday,15,Part Three,LEXINGTON AVE,42.26255067,-71.11582205,"(42.26255067, -71.11582205)"
I182070868,616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,,03/09/2018 06:15,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.3353997,-71.15025675,"(42.33539970, -71.15025675)"
I182070866,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,, ,,03/09/2018 16:09,2018,9,Monday,16,Part Three,,42.28768807,-71.09386923,"(42.28768807, -71.09386923)"
I182070865,301,Robbery,ROBBERY - STREET,, ,,03/09/2018 15:54,2018,9,Monday,15,Part One,,42.31580852,-71.09829029,"(42.31580852, -71.09829029)"
I182070863,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,143,,01/09/2018 17:15,2018,9,Saturday,17,Part Two,RING RD,42.34813158,-71.08027002,"(42.34813158, -71.08027002)"
I182070862,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,603,,03/09/2018 15:29,2018,9,Monday,15,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182070861,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,642,,03/09/2018 16:00,2018,9,Monday,16,Part Three,CENTRE ST,42.31322316,-71.11409925,"(42.31322316, -71.11409925)"
I182070860,3114,Investigate Property,INVESTIGATE PROPERTY,C11,403,,03/09/2018 15:58,2018,9,Monday,15,Part Three,CROFTLAND AVE,42.28107109,-71.06925083,"(42.28107109, -71.06925083)"
I182070859,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,305,,03/09/2018 15:46,2018,9,Monday,15,Part Three,KENSINGTON ST,42.3206268,-71.09108856,"(42.32062680, -71.09108856)"
I182070858,2629,Harassment,HARASSMENT,E18,547,,03/09/2018 14:00,2018,9,Monday,14,Part Two,DEFOREST ST,42.2675628,-71.1297447,"(42.26756280, -71.12974470)"
I182070857,3201,Property Lost,PROPERTY - LOST,D4,145,,22/08/2018 14:00,2018,8,Wednesday,14,Part Three,HUNTINGTON AVE,42.34481182,-71.08234324,"(42.34481182, -71.08234324)"
I182070856,613,Larceny,LARCENY SHOPLIFTING,D4,138,,03/09/2018 14:31,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
I182070855,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,288,,03/09/2018 15:14,2018,9,Monday,15,Part Three,ROXBURY ST,42.3296087,-71.08462109,"(42.32960870, -71.08462109)"
I182070854,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,257,,03/09/2018 15:27,2018,9,Monday,15,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
I182070852,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,706,,02/09/2018 12:30,2018,9,Sunday,12,Part Two,VERSHIRE ST,42.27169454,-71.14650799,"(42.27169454, -71.14650799)"
I182070851,3115,Investigate Person,INVESTIGATE PERSON,E18,957,,03/09/2018 14:39,2018,9,Monday,14,Part Three,CLIFFMONT ST,42.27668221,-71.12065268,"(42.27668221, -71.12065268)"
I182070850,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,498,,03/09/2018 14:48,2018,9,Monday,14,Part Three,CLARE AVE,42.27360053,-71.11897042,"(42.27360053, -71.11897042)"
I182070849,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,177,,03/09/2018 11:30,2018,9,Monday,11,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182070847,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,,03/09/2018 13:07,2018,9,Monday,13,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182070846,613,Larceny,LARCENY SHOPLIFTING,C11,381,,03/09/2018 14:07,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)"
I182070844,724,Auto Theft,AUTO THEFT,D4,154,,03/09/2018 15:01,2018,9,Monday,15,Part One,TREMONT ST,42.3411289,-71.07692951,"(42.34112890, -71.07692951)"
I182070843,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,84,,03/09/2018 14:23,2018,9,Monday,14,Part Three,HANOVER ST,42.36339154,-71.05488123,"(42.36339154, -71.05488123)"
I182070842,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,776,,03/09/2018 13:32,2018,9,Monday,13,Part Three,PRISCILLA RD,42.34488259,-71.15216614,"(42.34488259, -71.15216614)"
I182070841,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,777,,20/08/2018 12:00,2018,8,Monday,12,Part Two,SHEPARD ST,42.34600153,-71.15112006,"(42.34600153, -71.15112006)"
I182070840,2647,Other,THREATS TO DO BODILY HARM,A1,63,,03/09/2018 14:46,2018,9,Monday,14,Part Two,MARTHA RD,42.36580175,-71.06538257,"(42.36580175, -71.06538257)"
I182070839,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,, ,,03/09/2018 14:21,2018,9,Monday,14,Part Three,,42.34320836,-71.0785066,"(42.34320836, -71.07850660)"
I182070838,613,Larceny,LARCENY SHOPLIFTING,D4,146,,03/09/2018 14:00,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070837,3115,Investigate Person,INVESTIGATE PERSON,B3,449,,03/09/2018 13:56,2018,9,Monday,13,Part Three,WHITFIELD ST,42.2922213,-71.07467073,"(42.29222130, -71.07467073)"
I182070837,3301,Verbal Disputes,VERBAL DISPUTE,B3,449,,03/09/2018 13:56,2018,9,Monday,13,Part Three,WHITFIELD ST,42.2922213,-71.07467073,"(42.29222130, -71.07467073)"
I182070836,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,03/09/2018 14:02,2018,9,Monday,14,Part Three,,42.33892088,-71.10725211,"(42.33892088, -71.10725211)"
I182070835,3201,Property Lost,PROPERTY - LOST,A1,77,,03/09/2018 14:29,2018,9,Monday,14,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182070834,617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,,23/08/2018 10:41,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)"
I182070833,2905,Violations,VAL - OPERATING WITHOUT LICENSE,D14,780,,03/09/2018 14:06,2018,9,Monday,14,Part Two,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)"
I182070833,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D14,780,,03/09/2018 14:06,2018,9,Monday,14,Part Three,FANEUIL ST,42.35479369,-71.14995785,"(42.35479369, -71.14995785)"
I182070832,3410,Towed,TOWED MOTOR VEHICLE,C6,229,,03/09/2018 13:18,2018,9,Monday,13,Part Three,E SIXTH ST,42.33298734,-71.04282382,"(42.33298734, -71.04282382)"
I182070831,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,619,,03/09/2018 14:17,2018,9,Monday,14,Part Two,SAINT STEPHEN ST,42.34272627,-71.08646352,"(42.34272627, -71.08646352)"
I182070830,2647,Other,THREATS TO DO BODILY HARM,B2,294,,03/09/2018 13:25,2018,9,Monday,13,Part Two,AKRON ST,42.32579408,-71.08563758,"(42.32579408, -71.08563758)"
I182070829,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,B2,325,,03/09/2018 13:45,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)"
I182070829,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,325,,03/09/2018 13:45,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)"
I182070828,613,Larceny,LARCENY SHOPLIFTING,D4,146,,03/09/2018 10:00,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070827,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,79,,03/09/2018 13:28,2018,9,Monday,13,Part Three,ENDICOTT ST,42.36588028,-71.05740251,"(42.36588028, -71.05740251)"
I182070826,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,462,,03/09/2018 14:11,2018,9,Monday,14,Part Three,ROSSETER ST,42.30376511,-71.07484027,"(42.30376511, -71.07484027)"
I182070825,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,398,,03/09/2018 02:36,2018,9,Monday,2,Part Three,TALBOT AVE,42.29019621,-71.07159012,"(42.29019621, -71.07159012)"
I182070824,3114,Investigate Property,INVESTIGATE PROPERTY,B2,237,,03/09/2018 13:31,2018,9,Monday,13,Part Three,CAWFIELD ST,42.31993148,-71.06368978,"(42.31993148, -71.06368978)"
I182070823,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,330,,03/09/2018 14:00,2018,9,Monday,14,Part One,BLUE HILL AVE,42.3078214,-71.08354076,"(42.30782140, -71.08354076)"
I182070822,1402,Vandalism,VANDALISM,C6,231,,03/09/2018 13:44,2018,9,Monday,13,Part Two,E SEVENTH ST,42.33238533,-71.03016099,"(42.33238533, -71.03016099)"
I182070820,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,, ,,03/09/2018 13:18,2018,9,Monday,13,Part Two,,42.31224532,-71.07317861,"(42.31224532, -71.07317861)"
I182070819,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,03/09/2018 13:14,2018,9,Monday,13,Part Two,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)"
I182070818,1844,Drug Violation,DRUGS - POSS CLASS C,A1,119,,03/09/2018 12:46,2018,9,Monday,12,Part Two,BEACON ST,42.35678442,-71.06670845,"(42.35678442, -71.06670845)"
I182070817,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,788,,31/08/2018 12:00,2018,8,Friday,12,Part Three,SUTHERLAND RD,42.34023408,-71.14800614,"(42.34023408, -71.14800614)"
I182070816,3301,Verbal Disputes,VERBAL DISPUTE,C6,185,,03/09/2018 12:45,2018,9,Monday,12,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070816,619,Larceny,LARCENY ALL OTHERS,C6,185,,03/09/2018 12:45,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070815,423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,,03/09/2018 12:40,2018,9,Monday,12,Part One,CENTRE ST,42.32259354,-71.10619643,"(42.32259354, -71.10619643)"
I182070813,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,,03/09/2018 03:00,2018,9,Monday,3,Part One,PETERBOROUGH ST,42.34280177,-71.1006951,"(42.34280177, -71.10069510)"
I182070812,3115,Investigate Person,INVESTIGATE PERSON,E18,525,,03/09/2018 12:00,2018,9,Monday,12,Part Three,WOLCOTT ST,42.23797683,-71.13000944,"(42.23797683, -71.13000944)"
I182070811,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,12,,03/09/2018 11:49,2018,9,Monday,11,Part Three,BENNINGTON ST,42.38512136,-71.01150101,"(42.38512136, -71.01150101)"
I182070809,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,605,,03/09/2018 12:37,2018,9,Monday,12,Part Three,FISHER AVE,42.33061023,-71.10853621,"(42.33061023, -71.10853621)"
I182070808,3205,License Plate Related Incidents,M/V PLATES - LOST,B2,297,,03/09/2018 09:40,2018,9,Monday,9,Part Three,KENSINGTON PARK,42.32171349,-71.08260822,"(42.32171349, -71.08260822)"
I182070807,2647,Other,THREATS TO DO BODILY HARM,E5,748,,03/09/2018 12:01,2018,9,Monday,12,Part Two,KEANE RD,42.29476186,-71.1623927,"(42.29476186, -71.16239270)"
I182070806,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,361,,03/09/2018 12:23,2018,9,Monday,12,Part One,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
I182070806,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,361,,03/09/2018 12:23,2018,9,Monday,12,Part Two,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
I182070805,616,Larceny,LARCENY THEFT OF BICYCLE,E5,564,,02/09/2018 21:51,2018,9,Sunday,21,Part One,ARCHDALE RD,42.29277202,-71.12138967,"(42.29277202, -71.12138967)"
I182070804,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,756,,03/09/2018 11:00,2018,9,Monday,11,Part One,CHAMPNEY ST,42.3524123,-71.16878833,"(42.35241230, -71.16878833)"
I182070803,1402,Vandalism,VANDALISM,B3,463,,17/08/2018 12:10,2018,8,Friday,12,Part Two,BLUE HILL AVE,42.29216506,-71.08896989,"(42.29216506, -71.08896989)"
I182070802,3001,Medical Assistance,DEATH INVESTIGATION,A15,56,,03/09/2018 11:49,2018,9,Monday,11,Part Three,HIGH ST,42.37604137,-71.06211228,"(42.37604137, -71.06211228)"
I182070801,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,326,,02/09/2018 19:30,2018,9,Sunday,19,Part Three,LAWRENCE AVE,42.31161123,-71.076256,"(42.31161123, -71.07625600)"
I182070800,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,325,,03/09/2018 11:14,2018,9,Monday,11,Part Two,BEAUFORD LN,42.31620533,-71.07609249,"(42.31620533, -71.07609249)"
I182070799,3410,Towed,TOWED MOTOR VEHICLE,, ,,03/09/2018 11:55,2018,9,Monday,11,Part Three,CHELSEA,-1,-1,"(-1.00000000, -1.00000000)"
I182070798,2629,Harassment,HARASSMENT,C11,450,,03/09/2018 11:36,2018,9,Monday,11,Part Two,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
I182070797,3301,Verbal Disputes,VERBAL DISPUTE,C11,341,,03/09/2018 11:30,2018,9,Monday,11,Part Three,SPEEDWELL ST,42.30406722,-71.06760042,"(42.30406722, -71.06760042)"
I182070796,3115,Investigate Person,INVESTIGATE PERSON,A1,61,,03/09/2018 11:07,2018,9,Monday,11,Part Three,BEVERLY ST,42.36658726,-71.06019881,"(42.36658726, -71.06019881)"
